id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
141434,URCA Amazing Penthouse w/ best view/ 230 m2,687759,Adriana,,Botafogo,-22.95454,-43.17442,Entire home/apt,866,3,33,2021-10-01,1.63,2,326,9,
146402,Suite in a beautiful house-Lagoa/RJ,713797,Rosalia,,Humaitá,-22.96148,-43.20038,Private room,278,2,81,2019-03-07,0.70,2,365,0,
154127,Lindo Apt. Rio Centro / Rock in Rio,757937,Renata,,Jacarepaguá,-22.97275,-43.41337,Entire home/apt,500,1,0,,,1,361,0,
166177,Studio  70 meters from Copacabana beach,792218,Levy,,Copacabana,-22.97854,-43.1904,Entire home/apt,144,2,89,2021-01-10,0.72,10,342,4,
166861,Private Double room at Copacabana,454863,Dary,,Copacabana,-22.98413,-43.19235,Private room,261,3,12,2020-02-24,0.13,2,293,0,
166972,O MELHOR ESTÚDIO DE  COPACABANA,795470,Luiz Otavio,,Copacabana,-22.96614,-43.18401,Entire home/apt,170,3,1,2019-11-06,0.04,1,207,0,
167031,"Arpoador beach, the best part of Ipanema",792218,Levy,,Ipanema,-22.9869,-43.19286,Entire home/apt,174,2,62,2016-12-31,0.57,10,304,4,
167932,Quiet studio in the best of COPA,792218,Levy,,Copacabana,-22.97064,-43.18496,Entire home/apt,153,2,76,2018-08-18,0.65,10,265,5,
170265,Quarto confortável na praia da Barra da Tijuca,811735,Ivana,,Barra da Tijuca,-23.0102,-43.37246,Private room,250,2,1,2019-10-06,0.04,2,363,0,
170397,Studio in the HEART of Copacabana,792218,Levy,,Copacabana,-22.97135,-43.18779,Entire home/apt,147,2,101,2019-01-12,0.82,10,342,3,
171505,Come and feel at home,820276,Cristiana,,Vidigal,-22.99327,-43.23481,Entire home/apt,445,3,1,2016-08-21,0.02,1,363,0,
172902,Studio between Ipanema / Copacabana,792218,Levy,,Copacabana,-22.98114,-43.19429,Entire home/apt,127,2,93,2017-01-28,0.76,10,343,8,
173709,Excelent apt near Copacabana beach,829630,Luciana,,Copacabana,-22.96104,-43.17647,Entire home/apt,140,1,75,2019-04-30,0.71,3,36,12,
174101,Penthouse & Private Airy and Quiet Terrace,259815,Valerie & Alex,,Copacabana,-22.98015,-43.19098,Entire home/apt,672,3,193,2021-03-15,1.60,2,119,4,
176185,Penthouse Oceanview Copacab/Ipanema,842466,Wolfgang,,Copacabana,-22.98401,-43.19035,Entire home/apt,979,3,142,2021-07-21,1.17,1,364,2,
178833,Penthouse #1! Best Internet! Veranda! Expat US-DE,856145,Mario,,Copacabana,-22.98026,-43.19109,Private room,180,10,109,2020-11-28,0.99,3,282,5,
178951,Penthouse #2! Best Internet! Veranda! Expat US-DE,856145,Mario,,Copacabana,-22.97858,-43.19075,Entire home/apt,200,10,87,2021-07-30,0.83,3,284,8,
181138,"Stunning penthouse with ocean view and panoramic terrace, beach one minute away.",868175,Yann,,Copacabana,-22.98467,-43.19166,Entire home/apt,1168,3,67,2021-09-30,0.58,1,206,4,
186604,Private room in downtown Rio,896919,Mauro,,Centro,-22.90544,-43.19471,Private room,668,3,0,,,1,365,0,
186989,Quitinete em Santa Teresa,211028,Lisa,,Santa Teresa,-22.92122,-43.18354,Entire home/apt,150,2,2,2016-02-11,0.02,2,364,0,
187092,Studio in Santa Teresa,211028,Lisa,,Santa Teresa,-22.92253,-43.18357,Entire home/apt,219,3,0,,,2,365,0,
